,max,min
0,5100,4900
1,5100,4900
2,5100,4900
3,5100,4900
4,5000,4900
5,4700,4600
6,4700,4600
7,4700,4600
8,4700,4600
9,4700,4500
10,4500,4400
11,4500,4400
12,4500,4400
13,4300,4100
14,4300,4100
15,3800,3600
16,3700,3500
17,3600,3400
18,3500,3400
19,3400,3200
20,3500,3400
21,3500,3400
22,3500,3400
23,3400,3300
24,3400,3200
25,3300,3100
26,3300,3100
27,3300,3100
28,3300,3100
29,3300,3100
30,3000,2900
31,3000,2900
32,3000,2900
33,3000,2900
34,3000,2900
35,3000,2900
36,3000,2900
37,3000,2900
38,3000,2800
39,3000,2800
40,2500,2400
41,2500,2400
42,2500,2400
43,2500,2400
44,2500,2400
